time,open,high,low,close,volume
2015-01-02 08:00:00,1.55440,1.55467,1.53242,1.53244,70780
2015-01-05 08:00:00,1.52995,1.53184,1.51718,1.52483,108979
2015-01-06 08:00:00,1.52482,1.52729,1.51404,1.51485,107006
2015-01-07 08:00:00,1.51485,1.51546,1.50543,1.51084,111304
2015-01-08 08:00:00,1.51083,1.51166,1.50336,1.50882,94075
2015-01-09 08:00:00,1.50882,1.51738,1.50764,1.51571,104093
2015-01-12 08:00:00,1.51768,1.51929,1.50982,1.51694,93714
2015-01-13 08:00:00,1.51697,1.51908,1.50769,1.51582,110581
2015-01-14 08:00:00,1.51582,1.52678,1.51443,1.52320,114133
2015-01-15 08:00:00,1.52321,1.52665,1.51494,1.51805,127237
2015-01-16 08:00:00,1.51813,1.52336,1.50745,1.51450,125329
2015-01-19 08:00:00,1.51274,1.51780,1.51079,1.51098,51772
2015-01-20 08:00:00,1.51107,1.51985,1.50577,1.51417,40874
2015-01-21 08:00:00,1.51421,1.51779,1.50751,1.51399,50415
2015-01-22 08:00:00,1.51397,1.52114,1.49714,1.50076,57253
2015-01-23 08:00:00,1.50087,1.50346,1.49503,1.49876,59924
2015-01-26 08:00:00,1.50079,1.51026,1.49858,1.50758,47625
2015-01-27 08:00:00,1.50751,1.52227,1.50590,1.51958,70437
2015-01-28 08:00:00,1.51919,1.52185,1.51302,1.51364,83169
2015-01-29 08:00:00,1.51349,1.51616,1.50176,1.50642,46843
2015-01-30 08:00:00,1.50626,1.50950,1.49882,1.50619,47062
2015-02-02 08:00:00,1.50933,1.50982,1.50048,1.50373,77250
2015-02-03 08:00:00,1.50380,1.51969,1.49883,1.51650,86690
2015-02-04 08:00:00,1.51650,1.52499,1.51382,1.51801,73098
2015-02-05 08:00:00,1.51805,1.53427,1.51642,1.53264,81400
2015-02-06 08:00:00,1.53263,1.53516,1.52103,1.52250,70972
2015-02-09 08:00:00,1.52265,1.52662,1.52000,1.52136,73909
2015-02-10 08:00:00,1.52134,1.52746,1.51959,1.52530,73791
2015-02-11 08:00:00,1.52530,1.52988,1.52184,1.52358,72072
2015-02-12 08:00:00,1.52351,1.54127,1.52088,1.53825,79397
2015-02-13 08:00:00,1.53824,1.54215,1.53705,1.53928,73170
2015-02-16 08:00:00,1.54178,1.54396,1.53385,1.53613,70974
2015-02-17 08:00:00,1.53607,1.54013,1.53156,1.53518,73475
2015-02-18 08:00:00,1.53517,1.54777,1.53410,1.54344,78140
2015-02-19 08:00:00,1.54345,1.54649,1.54040,1.54134,70165
2015-02-20 08:00:00,1.54124,1.54333,1.53430,1.53983,76045
2015-02-23 08:00:00,1.53953,1.54739,1.53321,1.54558,63625
2015-02-24 08:00:00,1.54554,1.54733,1.54038,1.54515,65712
2015-02-25 08:00:00,1.54527,1.55380,1.54465,1.55273,64527
2015-02-26 08:00:00,1.55279,1.55516,1.53940,1.54051,70077
2015-02-27 08:00:00,1.54050,1.54580,1.53840,1.54365,70621
2015-03-02 08:00:00,1.54151,1.54281,1.53513,1.53636,64072
2015-03-03 08:00:00,1.53648,1.53970,1.53442,1.53588,61215
2015-03-04 08:00:00,1.53590,1.53713,1.52515,1.52638,66344
2015-03-05 08:00:00,1.52640,1.52690,1.52149,1.52388,67554
2015-03-06 08:00:00,1.52400,1.52554,1.50314,1.50333,69856
2015-03-09 08:00:00,1.50345,1.51366,1.50328,1.51272,66438
2015-03-10 08:00:00,1.51270,1.51280,1.50284,1.50534,86182
2015-03-11 08:00:00,1.50538,1.50959,1.48928,1.49281,95567
2015-03-12 08:00:00,1.49284,1.50260,1.48495,1.48845,88081
2015-03-13 08:00:00,1.48842,1.48962,1.46988,1.47397,85528
2015-03-16 08:00:00,1.47342,1.48529,1.47342,1.48253,84136
2015-03-17 08:00:00,1.48231,1.48447,1.47236,1.47428,86285
2015-03-18 08:00:00,1.47433,1.51648,1.46347,1.49574,99161
2015-03-19 08:00:00,1.49560,1.50094,1.46876,1.47543,108127
2015-03-20 08:00:00,1.47541,1.49880,1.47215,1.49450,91424
2015-03-23 08:00:00,1.49723,1.49729,1.48377,1.49535,92693
2015-03-24 08:00:00,1.49534,1.49835,1.48411,1.48428,98379
2015-03-25 08:00:00,1.48438,1.49533,1.48303,1.48844,78715
2015-03-26 08:00:00,1.48841,1.49933,1.48062,1.48499,91846
2015-03-27 08:00:00,1.48501,1.49210,1.47959,1.48700,86753
2015-03-30 08:00:00,1.48826,1.49003,1.47527,1.48092,76570
2015-03-31 08:00:00,1.48082,1.48710,1.47545,1.48164,79845
2015-04-01 08:00:00,1.48174,1.48707,1.47390,1.48224,79563
2015-04-02 08:00:00,1.48227,1.48678,1.47756,1.48268,75990
2015-04-03 08:00:00,1.48267,1.49445,1.48095,1.49179,55162
2015-04-06 08:00:00,1.49179,1.49806,1.48696,1.48785,41574
2015-04-07 08:00:00,1.48770,1.49197,1.48021,1.48069,77935
2015-04-08 08:00:00,1.48068,1.49727,1.48066,1.48662,77993
2015-04-09 08:00:00,1.48651,1.48855,1.46847,1.47111,74435
2015-04-10 08:00:00,1.47113,1.47241,1.45865,1.46310,73860
2015-04-13 08:00:00,1.46310,1.46809,1.45650,1.46745,71071
2015-04-14 08:00:00,1.46748,1.48011,1.46029,1.47798,81043
2015-04-15 08:00:00,1.47795,1.48533,1.47004,1.48412,80617
2015-04-16 08:00:00,1.48412,1.49690,1.48114,1.49320,100135
2015-04-17 08:00:00,1.49320,1.50527,1.49154,1.49595,88033
2015-04-20 08:00:00,1.49595,1.49831,1.48873,1.49075,76220
2015-04-21 08:00:00,1.49075,1.49724,1.48557,1.49251,94903
2015-04-22 08:00:00,1.49251,1.50792,1.49127,1.50399,105696
2015-04-23 08:00:00,1.50399,1.50696,1.49593,1.50584,102206
2015-04-24 08:00:00,1.50584,1.51868,1.50268,1.51855,101526
2015-04-27 08:00:00,1.51747,1.52614,1.51065,1.52341,92943
2015-04-28 08:00:00,1.52296,1.53424,1.51719,1.53395,107603
2015-04-29 08:00:00,1.53384,1.54977,1.53274,1.54377,128457
2015-04-30 08:00:00,1.54370,1.54918,1.53033,1.53524,149116
2015-05-01 08:00:00,1.53489,1.53965,1.51141,1.51473,106499
2015-05-04 08:00:00,1.51432,1.51742,1.50897,1.51203,69783
2015-05-05 08:00:00,1.51202,1.52172,1.50899,1.51807,24244
2015-05-06 08:00:00,1.51790,1.52898,1.51508,1.52415,43336
2015-05-07 08:00:00,1.52410,1.52743,1.51647,1.52436,18854
2015-05-08 08:00:00,1.52470,1.55207,1.52450,1.54426,34842
2015-05-11 08:00:00,1.54484,1.56120,1.53925,1.55847,68349
